question,contexts,answer,ground_truth,faithfulness,answer_relevancy,answer_similarity,context_relevancy,context_precision,context_recall
"Complete the following paragraph: A more complete paradigm of molecular biology must therefore include glycans, often in covalent combination with other macromolecules (i.e., glycoconjugates, such as glycoproteins and glycolipids). In analogy to the current situation in Cosmology, glycans can be considered as the “dark matter” of the biological universe: a major and critical component that has yet to be fully incorporated into the “standard model” of biology.","['In analogy to the current situation in Cosmology, glycans can be considered as the “dark matter” of the biological universe: a major and critical component that has yet to be fully incorporated into the “standard model” of biology. However, unlike the situation with dark matter in the Universe, there is already a lot known about glycans. The chemistry and metabolism of carbohydrates were prominent matters of interest in the first part of the 20th century.'
 'In addition, simple, rapidly turning over, protein-bound glycans are abundant within the nucleus and cytoplasm, in which they can serve as regulatory switches. A more complete paradigm of molecular biology must therefore include glycans, often in covalent combination with other macromolecules (i.e., glycoconjugates, such as glycoproteins and glycolipids).'
 'Given all these major advances in basic and applied research on glycans, there is no reason why this major class of biomolecules should continue to be the “dark matter of the biological universe.” However, since the 1980s an entire generation of scientists have been largely trained without much exposure to, or knowledge of, glycans. Thus, it will still be awhile before these molecules return to their rightful place in the mainstream of thinking in conventional molecular and cellular biology and medicine.']","Given all these major advances in basic and applied research on glycans, there is no reason why this major class of biomolecules should continue to be the “dark matter of the biological universe.” However, since the 1980s an entire generation of scientists have been largely trained without much exposure to, or knowledge of, glycans. Thus, it will still be awhile before these molecules return to their rightful place in the mainstream of thinking in conventional molecular and cellular biology and medicine.","However, unlike the situation with dark matter in the Universe, there is already a lot known about glycans. The chemistry and metabolism of carbohydrates were prominent matters of interest in the first part of the 20th century. Although engendering much attention, they were primarily considered as a source of energy or as structural materials, apparently lacking other biological activities. Furthermore, during the molecular biology revolution of the 1970s, studies of glycans lagged far behind those of other major classes of molecules. This was in part because of their inherent structural complexity, the difficulty in determining their sequences, and the fact that their biosynthesis could not be directly predicted from a DNA template.",0.75,0.6736342345952635,0.822342814067214,0.25,0.9999999999666667,0.4
"Complete the following paragraph: Monosaccharide names are frequently abbreviated; most common are three-letter abbreviations for simple monosaccharides (e.g., Gal, Glc, Man, Xyl, Fuc). There are nine common monosaccharides found in vertebrate glycoconjugates (Figure 2.4). Once incorporated into a glycan, these nine monosaccharide building blocks can be further modified to generate additional sugar structures.","['There are nine common monosaccharides found in vertebrate glycoconjugates (Figure 2.4). Once incorporated into a glycan, these nine monosaccharide building blocks can be further modified to generate additional sugar structures. For example, glucuronic acid (GlcA) can be epimerized at C-5 to generate IdoA.'
 'For example, D-mannose is the C-2 epimer of D-glucose, whereas D-galactose is the C-4 epimer of D-glucose (Figure 2.4). Monosaccharide names are frequently abbreviated; most common are three-letter abbreviations for simple monosaccharides (e.g., Gal, Glc, Man, Xyl, Fuc).'
 'Thus, much of the possible diversity may yet exist in nature. Although several hundred distinct monosaccharides are known in nature, only a minority of these are commonly found in well-studied glycans. Examples of common monosaccharides in vertebrate cells are listed below, along with their standard abbreviations (for details regarding their structures, see Chapter 2, and embedded links from the symbols in Online Appendix 1B).']","Once incorporated into a glycan, these nine monosaccharide building blocks can be further modified to generate additional sugar structures. For example, D-mannose is the C-2 epimer of D-glucose, whereas D-galactose is the C-4 epimer of D-glucose.","For example, glucuronic acid (GlcA) can be epimerized at C-5 to generate IdoA. Many more monosaccharides exist in glycoconjugates from other species and as intermediates in metabolism. We use a symbolic notation for the monosaccharides that are most abundant in vertebrate glycoconjugates (see Chapter 1). Common monosaccharides found in vertebrates. N-Acetylneuraminic acid is the most common form of sialic acid.  Monosaccharides exist in solution as an equilibrium mixture of acyclic and cyclic forms. The percentage of each form depends on the sugar structure. The cyclic form of a monosaccharide is characterized by a hemiacetal group formed by the reaction of one of the hydroxyl groups with the C-1 aldehyde or ketone. For reasons of chemical stability, five- and six-membered rings are most commonly formed from acyclic monosaccharides. Hexoses (six-carbon aldoses) and hexuloses (six-carbon ketoses) form six-membered rings via a C-1—O—C-5 ring closure; they form five-membered rings through a C-1—O—C-4 ring closure (Figure 2.5). A five-membered cyclic hemiacetal is labeled a “furanose” and a six-membered cyclic hemiacetal is called a “pyranose.” Pentoses can form both pyranose and furanose forms. Cyclization of acyclic D-glucose to form pyranose and furanose structures. The cyclization reaction produces both the α and β anomers (i.e., C-1 epimers).",1.0,0.6421992425309507,0.69361737398843,0.125,0.9999999999,0.2
"Complete the following paragraph: In solution, NMR studies show IdoA2S and IdoA residues to be present in a mixture of 1C4 and 2S0 conformations. The conformational flexibility in IdoA residues likely allows orientation of the sulfate groups in HS to maximize the binding affinity to proteins.","['The conformational flexibility in IdoA residues likely allows orientation of the sulfate groups in HS to maximize the binding affinity to proteins. Structural elements that dictate preferences for one form over the other, including the possible effects from the sulfated monosaccharide sequences around the IdoA/IdoA2S residue, are subject to further investigation.'
 'In contrast, IdoA2S assumes the 1C4 or the 2S0 conformation (Figure 38.1), which reorients the position of the sulfo substituents, thereby creating a different orientation of charged groups. In many cases when a protein binds to an HS chain, it induces a change in conformation of the IdoA2S residue resulting in a better fit and enhanced binding.'
 'Until now, only the 4C1 chair conformation has been verified experimentally for GlcA and GlcN in HS, but both the 1C4 chair and the 2S0 conformations have been found for IdoA2S residues in crystal structures containing HS. In solution, NMR studies show IdoA2S and IdoA residues to be present in a mixture of 1C4 and 2S0 conformations.']","The conformational flexibility in IdoA residues likely allows orientation of the sulfate groups in HS to maximize the binding affinity to proteins. In contrast, IdoA2S assumes the 1C4 or the 2S0 conformation, which reorients the position of the sulfo substituents, thereby creating a different orientation of charged groups. This flexibility in conformation, particularly in IdoA2S, can lead to a better fit and enhanced binding when a protein interacts with an HS chain.","Structural elements that dictate preferences for one form over the other, including the possible effects from the sulfated monosaccharide sequences around the IdoA/IdoA2S residue, are subject to further investigation. A second factor contributing to structural diversity and selective interactions with certain HS-binding proteins is the size of the sulfated saccharide domains. HS isolated from natural sources shows domain-like structures, with clusters of six to eight saccharides forming the highly sulfated domains known as S-domains. These regions are separated by nonsulfated saccharide residues, consisting of GlcA-GlcNAc RUs, known as NAc-domains. The S-domains contain primarily IdoA residues that likely contribute the flexibility needed to optimize binding to proteins and elicit desired biological activities.",0.5,0.5178492916196242,0.7621390974021647,0.16666666666666666,0.9999999999666667,0.5
"Complete the following paragraph: After more than three billion years of evolution, every free-living cell and every cell type within eukaryotic organisms remains covered with a dense and complex layer of glycans (Chapter 20). Even enveloped viruses that bud from infected cells carry with them the glycosylation patterns of the host. Additionally, most secreted molecules are glycosylated and extracellular matrices of multicellular organisms are rich in glycans and glycoconjugates. Matrices secreted by unicellular organisms when they congregate (e.g., bacterial biofilms [Chapter 21]) also contain glycans. Thus, evolution has repeatedly and consistently selected glycans as being the most diverse and flexible molecules to position at the interface between cells and the extracellular milieu.","['Additionally, most secreted molecules are glycosylated and extracellular matrices of multicellular organisms are rich in glycans and glycoconjugates. Matrices secreted by unicellular organisms when they congregate (e.g., bacterial biofilms [Chapter 21]) also contain glycans. Thus, evolution has repeatedly and consistently selected glycans as being the most diverse and flexible molecules to position at the interface between cells and the extracellular milieu.'
 'Chapters 21 and 22 further address prokaryotic glycosylation mechanisms. After more than three billion years of evolution, every free-living cell and every cell type within eukaryotic organisms remains covered with a dense and complex layer of glycans (Chapter 20). Even enveloped viruses that bud from infected cells carry with them the glycosylation patterns of the host.'
 'Being on the outer surface of cellular and secreted macromolecules, many glycans are in a position to modulate or mediate a variety of events in cell–cell, cell–matrix, and cell–molecule interactions critical to the development and function of a complex multicellular organism. They can also mediate interactions between organisms (e.g., between host and a parasite, pathogen, or a symbiont).']","Evolution has repeatedly and consistently selected glycans as being the most diverse and flexible molecules to position at the interface between cells and the extracellular milieu. This positioning allows glycans to modulate or mediate a variety of events in cell-cell, cell-matrix, and cell-molecule interactions critical to the development and function of a complex multicellular organism. Glycans can also mediate interactions between organisms, such as between a host and a parasite, pathogen, or a symbiont.","Possible reasons include their relative hydrophilicity, flexibility, and mobility in aqueous environments and their extreme diversity, allowing facile short-term and long-term adaptations to changing environments and pathogen regimes. In bacteria, Archaea, and fungi, glycans serve critical structural roles in the cell wall and in resisting large differences in osmolarity between cytoplasm and environment. In eukaryotes, both secretory proteins and membrane proteins typically pass through an endoplasmic reticulum (ER)–Golgi pathway, the cellular system in which many major glycosylation reactions occur (see below). Most proteins in the blood plasma of animals (with the exception of albumin) are also heavily glycosylated, and the glycosylation of these and other secreted proteins may provide solubility, hydrophilicity, and negative charge, thus reducing unwanted intermolecular interactions and protecting against proteolysis. Cell-surface membrane proteins like receptors, adhesion molecules, and channels are typically glycosylated, and this modification can promote their proper folding, ensure their stability, and impact function.",1.0,0.6656120139065588,0.7040072994368808,0.25,0.9999999999666667,0.0
"Complete the following paragraph: In eukaryotic cells, glycosylation occurs mostly in the endoplasmic reticulum (ER) and Golgi apparatus, whereas monosaccharide activation and interconversions occur mostly in the cytoplasm. Nucleotide sugar–specific transporters carry activated sugar donors into the Golgi and to a lesser extent into the ER. In some cases, nucleotide sugars are used to synthesize activated lipid-linked intermediates before glycan transfer. This chapter describes how cells accomplish these tasks, with an emphasis on animal cells.","['In eukaryotic cells, glycosylation occurs mostly in the endoplasmic reticulum (ER) and Golgi apparatus, whereas monosaccharide activation and interconversions occur mostly in the cytoplasm. Nucleotide sugar–specific transporters carry activated sugar donors into the Golgi and to a lesser extent into the ER. In some cases, nucleotide sugars are used to synthesize activated lipid-linked intermediates before glycan transfer.'
 'In eukaryotes, nucleotide sugars are synthesized in the cytoplasm or nucleus, whereas most glycosylation occurs inside the ER or Golgi compartments (exceptions being hyaluronan [Chapter 16] and nucleocytoplasmic glycosylation [Chapters 18 and 19]). Therefore, newly synthesized nucleotide sugars are on the “wrong” side of the membrane for most glycosylation reactions and so must be transported into the ER and Golgi.'
 'As additional modifications of sugar chains made in the ER–Golgi pathway are uncovered, they will likely turn out to require specific transporters to carry the activated donors into the lumen of these compartments. Donors for glycan modifications  Multiple glycosylation pathways in prokaryotes and eukaryotes require lipid carriers to present monosaccharides and oligosaccharides at the proper location.']","This chapter describes how cells accomplish these tasks, with an emphasis on animal cells, where nucleotide sugars are synthesized in the cytoplasm or nucleus, while most glycosylation occurs inside the ER or Golgi compartments. Exceptions to this localization include hyaluronan and nucleocytoplasmic glycosylation. Newly synthesized nucleotide sugars are initially on the ""wrong"" side of the membrane for most glycosylation reactions and must be transported into the ER and Golgi for further processing and glycan transfer. Additional modifications of sugar chains in the ER-Golgi pathway may require specific transporters to carry activated donors into the lumen of these compartments. Multiple glycosylation pathways in prokaryotes and eukaryotes involve lipid carriers to facilitate the presentation of monosaccharides and oligosaccharides at the appropriate locations.","Glucose and fructose are the major carbon and energy sources for organisms as diverse as yeast and humans. Most organisms can synthesize the other monosaccharides needed for glycan biosynthesis from these sources. Not all of these biosynthetic pathways are equally active in all types of cells. However, there are some general principles. Monosaccharides must be activated to a high-energy donor for use in glycan synthesis. This process requires nucleoside triphosphates (typically UTP or GTP) and a glycosyl-1-P (monosaccharide with a phosphate at the anomeric carbon). They can be activated by a kinase (reaction 1) or generated from a previously synthesized activated nucleotide sugar (reactions 2 and 3)",0.8461538461538461,0.6705132292264039,0.6339188261663328,0.2857142857142857,0.9999999999666667,0.5
"Complete the following paragraph: The biosynthesis of glycans is primarily determined by glycosyltransferases that assemble monosaccharide moieties into linear and branched glycan chains. As might be expected from the complex array of glycan structures found in nature, glycosyltransferases constitute a very large family of enzymes.","['The biosynthesis of glycans is primarily determined by glycosyltransferases that assemble monosaccharide moieties into linear and branched glycan chains. As might be expected from the complex array of glycan structures found in nature, glycosyltransferases constitute a very large family of enzymes.'
 'In nature, most glycans are synthesized by glycosyltransferases, enzymes that transfer activated forms of monosaccharides from nucleotide sugars and lipid-linked sugar intermediates to acceptors, including proteins, lipids, and growing glycan chains. Monosaccharide precursors are imported into the cell, salvaged from degraded glycans, or created enzymatically from other sugars within the cell.'
 'The glycosyltransferases that are involved in the assembly of O-GalNAc glycans are listed in Table 10.2. However, other enzymes that contribute to the synthesis of N-glycans and glycolipids also act on O-glycans, and some of these prefer O-glycans as acceptor substrates (Chapter 14).']","In nature, most glycans are synthesized by glycosyltransferases, enzymes that transfer activated forms of monosaccharides from nucleotide sugars and lipid-linked sugar intermediates to acceptors, including proteins, lipids, and growing glycan chains. Monosaccharide precursors are imported into the cell, salvaged from degraded glycans, or created enzymatically from other sugars within the cell. The glycosyltransferases that are involved in the assembly of O-GalNAc glycans are listed in Table 10.2. However, other enzymes that contribute to the synthesis of N-glycans and glycolipids also act on O-glycans, and some of these prefer O-glycans as acceptor substrates.","In many cases, they catalyze a group-transfer reaction in which the monosaccharide moiety of a simple nucleotide sugar donor (electrophile) substrate (e.g., UDP-Gal, GDP-Fuc, or CMP-Sia; Chapter 5) is transferred to the acceptor (nucleophile) substrate. In some instances, the donor substrates contain a lipid moiety, such as dolichol-phosphate, linked to mannose or glucose. For other glycosyltransferases, the donor substrate is dolichol-pyrophosphate, linked to an oligosaccharide, and in these cases the entire oligosaccharide is transferred en bloc to the acceptor substrate (Chapter 9). Similarly, other lipid-linked sugars serve as donor substrates for bacterial glycosyltransferases involved in the assembly of peptidoglycan (e.g., GlcNAc-MurNAc(pentapeptide)-undecaprenyl pyrophosphate), lipopolysaccharide, and capsules (Chapters 21 and 22). Glycosyltransferases that use monosaccharides, oligosaccharides, proteins, lipids, small organic molecules, and DNA as acceptor substrates have been characterized (activity to RNA has also been suggested), but only glycosyltransferases involved in the biosynthesis of glycoproteins, proteoglycans, and glycolipids are discussed in this chapter.",1.0,0.6893370566230899,0.7376415722020779,0.3333333333333333,0.9999999999666667,0.2
"Complete the following paragraph: Over the years, many theories have been advanced regarding biological roles of glycans. Although there is evidence to support all the theories, exceptions to each one can also be found. This should not be surprising, given the abundance and enormous diversity of glycans in nature. Complexities also arise because glycans are frequently bound by microbes and microbial toxins, making them a liability to the organism that synthesizes them. Biological functions of glycans can be divided into three broad categories:","['Over the years, many theories have been advanced regarding biological roles of glycans. Although there is evidence to support all the theories, exceptions to each one can also be found. This should not be surprising, given the abundance and enormous diversity of glycans in nature. Complexities also arise because glycans are frequently bound by microbes and microbial toxins, making them a liability to the organism that synthesizes them.'
 'Like any biological system, the optimal approach carefully considers the relationship of structure and biosynthesis to function (Chapter 7). As might be imagined from their ubiquitous and complex nature, the biological roles of glycans are remarkably varied. Indeed, asking what these roles are is akin to asking the same question about proteins. Thus, all of the proposed theories regarding glycan function turn out to be partly correct, and exceptions to each can also be found.'
 'Further diversity arises because microbial pathogens also engage in “molecular mimicry,” evading immune reactions by decorating themselves with glycans typical of their hosts, and even in “glycan gimmickry,” modulating host immunity toward increased tolerance. Finally, most microbes are also themselves targets of pathogens that use microbial glycans for attachment and infection (e.g., bacteriophages that invade bacteria). General classification of the biological functions of glycans.']","General classification of the biological functions of glycans can be divided into three broad categories: (1) microbial pathogens engaging in ""molecular mimicry"" to evade immune reactions, (2) microbial pathogens using glycans for attachment and infection, and (3) microbial pathogens modulating host immunity through ""glycan gimmickry"" to increase tolerance.","(1) structural contributions (e.g., extracellular scaffolds: cell walls and extracellular matrices, protein folding and function); (2) energy metabolism (e.g., carbohydrates as carbon sources for storage and manipulation of animal behavior: pollination and seed dispersal); and (3) information carriers (e.g., molecular patterns recognized by glycan binding proteins [GBPs])",0.75,0.7414966325606375,0.5371064286416348,0.09090909090909091,0.9999999999666667,0.6666666666666666
"Complete the following paragraph: The glycome comprises all the glycan structures synthesized by an organism. It is analogous to the genome, the transcriptome, and/or the proteome but even more dynamic, and it has higher structural complexity that has yet to be fully defined. Cells of different types synthesize a subset of the glycome based on their differentiation state and physiological environment.","['The glycome comprises all the glycan structures synthesized by an organism. It is analogous to the genome, the transcriptome, and/or the proteome but even more dynamic, and it has higher structural complexity that has yet to be fully defined. Cells of different types synthesize a subset of the glycome based on their differentiation state and physiological environment. The human and mouse glycomes have many glycan structures in common, but a few are unique or have divergent functional properties.'
 'Thus, proteomes and their modifications vary during cell differentiation, activation, trafficking, and malignant transformation. However, no systems-level analysis of a biological process is complete without interrogating the glycome, defined as the entire complement of glycan structures (be it protein-/lipid-bound or -free) produced by cells, in addition to the genome, transcriptome, proteome, lipidome and metabolome.'
 'The numerous factors that influence the glycome (the transcriptome, the proteome, environmental nutrients, the secretory machinery, pH, and many other determinants) create a glycome that is highly diverse, adaptable, and dynamic. Thus, the glycome of a cell can change dramatically over time. It is this enormous structural plasticity in response to cellular and environmental states that underlies the essential roles of glycans in development, communication, and disease processes.']","The glycome, defined as the entire complement of glycan structures produced by cells, is influenced by various factors such as the transcriptome, proteome, environmental nutrients, secretory machinery, pH, and other determinants. This diversity and adaptability result in a highly dynamic glycome that can change significantly over time in response to cellular and environmental conditions.","The human and mouse glycomes have many glycan structures in common, but a few are unique or have divergent functional properties. For example, unlike humans, rodents synthesize cytidine monophospho-N-glycolylneuraminic acid (CMP-Neu5Gc), for the transfer of Neu5Gc to N- and O-glycans (Chapter 15). Similarly, the gene encoding α-1,3-galactosyltransferase (A3GALT2) is functional in the mouse but not in human (Chapter 20). The human and fly genomes include orthologous genes encoding GTs that catalyze the same reaction, but they also have GTs that are unique. Thus, protein O-fucosyltransferase 1 (POFUT1) in mammals and Ofut1 in flies transfer fucose to Notch receptors and are examples of an evolutionarily conserved GT. In contrast, flies do not make complex N-glycans with four branches, which are common in mammalian glycoproteins (Chapters 9 and 20). Additionally, flies make unique glycolipids absent from mammals that are important for conserved signaling pathways mediated by the epidermal growth factor (EGF) receptor or Notch receptors (Chapter 26).",1.0,0.6433926915882664,0.5680574669862374,0.3333333333333333,0.9999999999666667,0.14285714285714285
"Complete the following paragraph: In mammals, there are two different catalytic STT3 subunits that both associate with ribophorins I and II, OST48, OST4, and DAD1 proteins (homologs of the yeast Ost1p, Swp1p, Wbp1p, Ost4p, and Ost2p, respectively).","['The complexity of OST increases in multicellular organisms. In mammals, there are two different catalytic STT3 subunits that both associate with ribophorins I and II, OST48, OST4, and DAD1 proteins (homologs of the yeast Ost1p, Swp1p, Wbp1p, Ost4p, and Ost2p, respectively).'
 'Yeast OST is comprised of eight different subunits Stt3p, Ost1p, Wbp1p, Swp1p, Ost2p, Ost4p, Ost5p, and Ost3p or Ost6p. Stt3p is the catalytic subunit of the enzyme. The two OST complexes (containing either of the thioredoxin-subunit Ost3p or Ost6p) have a different protein–substrate specificity.'
 'The STT3A complex (OSTA), closely associated with the translocon, contains the KCP2 and DC2 subunits, whereas the STT3B complex (OSTB) that has either MAGT1 or TUSC3 (homologs of yeast Ost3p/Ost6p) glycosylates polypeptides posttranslationally after their translocation into the ER.']","The two different catalytic STT3 subunits in mammals associate with ribophorins I and II, OST48, OST4, and DAD1 proteins, which are homologs of the yeast Ost1p, Swp1p, Wbp1p, Ost4p, and Ost2p, respectively.","The STT3A complex (OSTA), closely associated with the translocon, contains the KCP2 and DC2 subunits, whereas the STT3B complex (OSTB) that has either MAGT1 or TUSC3 (homologs of yeast Ost3p/Ost6p) glycosylates polypeptides posttranslationally after their translocation into the ER. On binding to the catalytic STT3 subunit, the client peptide adopts a 180° turn, making polypeptide folding a competing reaction for N-glycosylation. Indeed, the thioredoxin subunits of the OST complex (Ost3p/Ost6p; MAGT1/TUSC1) modulate the oxidative folding of the client polypeptide, thereby extending the polypeptide substrate range of OST. As of February 2021, the UniProt database reports 1911 N-glycosylation sites in yeast and 13,648 in murine glycoproteins.",1.0,0.7099578684164942,0.7263803042037715,0.16666666666666666,0.9999999999666667,0.25
"Complete the following paragraph: Sialic acids may be modified by O-acetylation, and Gal and GlcNAc by sulfation. The length of O-GalNAc glycans may vary from a single GalNAc to more than 20 sugar residues and can include blood group and other glycan epitopes. This chapter describes the structures, biosynthesis, and functions of O-GalNAc glycans in mammals.","['Sialic acids may be modified by O-acetylation, and Gal and GlcNAc by sulfation. The length of O-GalNAc glycans may vary from a single GalNAc to more than 20 sugar residues and can include blood group and other glycan epitopes. This chapter describes the structures, biosynthesis, and functions of O-GalNAc glycans in mammals.'
 '6-O-Sulfation of N-acetylglucosamine occurs on the nonreducing terminal residue, encouraging further chain elongation, whereas sulfation of galactose residues takes place on nonreducing terminal and internal galactose residues, with a preference for galactose units adjacent to a sulfated N-acetylglucosamine residue.'
 'Extensions by Type 1 (Galβ1-3GlcNAc) or Type 2 (Galβ1-4GlcNAc) units can be repeated and provide scaffolds for the attachment of additional sugars or functional groups. The termini of O-GalNAc glycans may contain Fuc and Sia in α-linkages, and Gal, GalNAc, and GlcNAc in both α- and β-linkages, and sulfate.']","Extensions by Type 1 (Galβ1-3GlcNAc) or Type 2 (Galβ1-4GlcNAc) units can be repeated and provide scaffolds for the attachment of additional sugars or functional groups. The termini of O-GalNAc glycans may contain Fuc and Sia in α-linkages, and Gal, GalNAc, and GlcNAc in both α- and β-linkages, and sulfate.","About 150 years ago, E. Eichwald and E. Hoppe-Seyler noted that highly glycosylated proteins that contain hundreds of O-GalNAc glycans, which they termed mucins, are found throughout the body (Figure 10.1). Since then we have learned that O-GalNAc glycans are not only found as dense clusters on mucins, but also at single sites on most secreted and membrane-bound proteins. O-GalNAc glycans are involved in almost every aspect of biology, including cell–cell communication, cell adhesion, signal transduction, immune surveillance, epithelial cell protection, and host–pathogen interactions.",1.0,0.2412522357848565,0.644459521573441,0.3333333333333333,0.9999999999666667,0.0
